customer_id,first_name,last_name,email,phone,city,state,postal_code,country,signup_date,last_order_date,total_orders,total_spent,marketing_opt_in,segment
21,Malik,Davis,malik.davis21@example.com,(783) 452-1651,Seattle,TX,84948,USA,2023-11-05,2024-07-29,11,2584.81,True,VIP
22,Jordan,Taylor,jordan.taylor22@example.com,(471) 605-3144,Miami,AZ,71441,USA,2022-03-16,,0,0.0,True,New
23,Marcus,Scott,marcus.scott23@example.com,(418) 718-5345,Houston,NY,39016,USA,2022-09-08,2022-11-27,15,3176.42,False,VIP
24,Sierra,Wright,sierra.wright24@example.com,(208) 883-5905,Dallas,NC,64664,USA,2022-04-29,2023-02-06,5,413.2,True,Churn Risk
25,Jordan,Moore,jordan.moore25@example.com,(903) 849-5325,Phoenix,AZ,62914,USA,2022-02-22,,0,0.0,False,New
26,DeShawn,Johnson,deshawn.johnson26@example.com,(203) 541-3143,Miami,NC,87912,USA,2023-07-19,2024-05-01,1,45.73,True,Churn Risk
27,Nia,Johnson,nia.johnson27@example.com,(578) 796-3426,New York,NC,35482,USA,2022-11-12,2022-12-02,12,819.81,True,Active
28,Brianna,Scott,brianna.scott28@example.com,(616) 835-3532,Charlotte,NC,53206,USA,2023-02-27,,0,0.0,False,New
29,Aaliyah,Taylor,aaliyah.taylor29@example.com,(473) 363-2771,New York,GA,91694,USA,2022-08-16,2023-04-08,12,1082.33,True,Active
30,Jay,Moore,jay.moore30@example.com,(608) 536-5564,Dallas,IL,76025,USA,2023-10-19,2024-09-30,18,1730.96,True,Active
31,DeShawn,Wilson,deshawn.wilson31@example.com,(794) 471-1626,Dallas,CA,75309,USA,2022-11-18,2023-08-06,4,434.38,True,Churn Risk
32,DeShawn,Johnson,deshawn.johnson32@example.com,(925) 646-1027,Phoenix,WA,55825,USA,2023-01-08,2023-12-14,11,1796.58,True,Churn Risk
33,Kayla,Wright,kayla.wright33@example.com,(516) 882-7691,Chicago,CA,68752,USA,2023-07-22,2024-02-22,22,5198.24,True,VIP
34,Sierra,Green,sierra.green34@example.com,(508) 615-9977,Atlanta,IL,67606,USA,2022-08-04,2023-05-27,20,3411.65,False,VIP
35,Andre,Young,andre.young35@example.com,(891) 418-9375,Los Angeles,NC,41114,USA,2022-10-18,2023-09-07,20,1941.87,False,Active
36,Imani,Moore,imani.moore36@example.com,(350) 225-1757,Charlotte,AZ,39545,USA,2023-04-12,2024-02-28,19,1229.68,False,Churn Risk
37,Jasmine,Hall,jasmine.hall37@example.com,(449) 351-1090,Dallas,CA,58683,USA,2022-06-30,2023-06-21,17,2156.39,True,Churn Risk
38,Tiana,Young,tiana.young38@example.com,(336) 675-9702,Phoenix,NY,88008,USA,2023-09-20,2024-06-04,14,2954.43,False,VIP
39,Danielle,King,danielle.king39@example.com,(660) 465-5050,Miami,WA,93517,USA,2023-10-04,2024-05-16,3,552.35,False,Active
40,Jordan,Jackson,jordan.jackson40@example.com,(753) 282-3267,Houston,FL,80205,USA,2023-12-12,2024-03-30,3,346.26,False,Active
41,Aaliyah,Johnson,aaliyah.johnson41@example.com,(411) 630-7381,Seattle,GA,79857,USA,2023-05-04,,0,0.0,False,New
42,Kayla,Hall,kayla.hall42@example.com,(629) 751-9947,Seattle,FL,93993,USA,2022-08-13,2023-04-18,1,109.44,False,Churn Risk
43,Danielle,Young,danielle.young43@example.com,(330) 837-9751,Atlanta,CA,33552,USA,2022-03-27,2022-06-04,15,926.97,False,Active
44,Jordan,Moore,jordan.moore44@example.com,(665) 534-6529,New York,IL,85255,USA,2022-09-16,2023-05-14,1,192.28,True,Churn Risk
45,Brianna,Taylor,brianna.taylor45@example.com,(865) 270-1659,Atlanta,FL,56130,USA,2022-01-21,2022-05-23,5,644.6,True,Active
46,Andre,Anderson,andre.anderson46@example.com,(985) 577-3749,Seattle,TX,51465,USA,2022-11-15,2022-11-28,10,1524.33,False,Active
47,Chris,Brown,chris.brown47@example.com,(806) 907-4978,Dallas,IL,45866,USA,2023-08-03,2024-01-27,18,2133.48,True,Active
48,Terrence,Jackson,terrence.jackson48@example.com,(212) 630-9031,Dallas,CA,77472,USA,2023-10-13,2024-06-04,23,1269.32,False,Active
49,Sierra,Scott,sierra.scott49@example.com,(695) 676-8136,Seattle,IL,72245,USA,2022-09-09,2022-10-23,9,2004.98,False,Active
50,Devon,Adams,devon.adams50@example.com,(884) 588-6511,Atlanta,AZ,72600,USA,2022-07-06,2023-01-03,9,884.5,False,Churn Risk
51,Nia,Harris,nia.harris51@example.com,(729) 395-2402,Charlotte,CA,94038,USA,2023-07-23,2024-07-10,16,2696.92,False,VIP
52,Andre,Harris,andre.harris52@example.com,(295) 501-4630,New York,FL,70135,USA,2023-11-11,2024-07-10,18,2558.02,False,VIP
53,Nia,Jackson,nia.jackson53@example.com,(560) 919-8434,Miami,IL,62951,USA,2022-08-25,2022-12-01,11,522.47,True,Churn Risk
54,Chris,Moore,chris.moore54@example.com,(956) 695-5530,Seattle,WA,67093,USA,2022-04-13,2022-09-11,8,824.02,True,Active
55,Nia,Miller,nia.miller55@example.com,(480) 246-1893,Phoenix,IL,46551,USA,2023-10-16,2024-06-23,4,882.9,False,Churn Risk
56,Jasmine,King,jasmine.king56@example.com,(651) 548-4020,Atlanta,IL,92616,USA,2022-04-27,2022-11-18,16,592.62,True,Churn Risk
57,Robert,Miller,robert.miller57@example.com,(776) 511-2395,Charlotte,TX,84548,USA,2023-09-13,2024-07-25,8,1587.28,False,Active
58,Andre,Thomas,andre.thomas58@example.com,(802) 639-6003,Seattle,GA,43006,USA,2022-08-01,2022-12-14,22,850.81,True,Active
59,Nia,Brown,nia.brown59@example.com,(360) 202-7693,Los Angeles,AZ,68175,USA,2022-02-03,2023-01-30,10,1816.87,True,Active
60,Imani,Anderson,imani.anderson60@example.com,(840) 803-4241,New York,TX,59466,USA,2023-10-26,2024-03-10,5,182.12,False,Active
61,Sierra,Green,sierra.green61@example.com,(495) 649-3037,Los Angeles,IL,82757,USA,2022-10-06,2023-06-15,15,577.52,False,Active
62,Jordan,Adams,jordan.adams62@example.com,(456) 226-2496,Charlotte,GA,65325,USA,2023-08-14,,0,0.0,True,New
63,Jasmine,Wright,jasmine.wright63@example.com,(867) 652-5557,Houston,CA,94451,USA,2022-04-04,2022-10-30,11,1032.28,True,Active
64,Jordan,Allen,jordan.allen64@example.com,(910) 707-5722,New York,WA,34809,USA,2023-04-11,,0,0.0,False,New
65,Jordan,Davis,jordan.davis65@example.com,(613) 726-1018,Phoenix,AZ,84165,USA,2022-02-25,2022-08-29,20,3879.64,False,VIP
66,Alicia,Moore,alicia.moore66@example.com,(473) 762-3146,Miami,AZ,93532,USA,2022-05-05,,0,0.0,True,New
67,Danielle,Thomas,danielle.thomas67@example.com,(764) 214-7684,Dallas,FL,44871,USA,2023-04-18,2024-03-14,5,673.13,False,Churn Risk
68,Terrence,Anderson,terrence.anderson68@example.com,(625) 694-8736,Charlotte,AZ,48958,USA,2023-01-28,2023-11-30,17,3258.0,True,VIP
69,Marcus,Anderson,marcus.anderson69@example.com,(624) 548-9318,Miami,GA,67072,USA,2022-11-02,2023-08-25,22,2917.58,True,VIP
70,Andre,Scott,andre.scott70@example.com,(695) 553-6446,Phoenix,WA,79441,USA,2023-04-12,2023-07-17,23,1723.28,True,Active
71,Aaliyah,Johnson,aaliyah.johnson71@example.com,(525) 962-8749,New York,CA,49936,USA,2023-05-23,2023-07-26,17,4114.53,False,VIP
72,Tiana,Young,tiana.young72@example.com,(302) 738-8486,Atlanta,NC,83736,USA,2023-11-02,2023-12-10,16,3196.01,False,VIP
73,Jordan,Adams,jordan.adams73@example.com,(909) 607-2315,Chicago,WA,79808,USA,2022-11-21,2023-07-28,18,508.62,True,Active
74,Kayla,Taylor,kayla.taylor74@example.com,(964) 292-8110,Dallas,TX,88153,USA,2022-06-20,2022-07-04,2,189.21,True,Churn Risk
75,Kayla,White,kayla.white75@example.com,(583) 641-3385,Charlotte,WA,84008,USA,2023-08-03,2023-11-03,6,361.6,False,Churn Risk
